map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
All Maps,KRÜ,2,6 (2),2 (1),8 (6),29 (17),459544,VCT 2025 Americas Stage 1_csvs
All Maps,100T,2,6 (3),4 (1),11 (3),24 (12),459544,VCT 2025 Americas Stage 1_csvs
Lotus,EG,1,4 (1),2 (1),9 (4),9 (5),459545,VCT 2025 Americas Stage 1_csvs
Lotus,LOUD,1,3 (1),3 (1),2 (2),16 (9),459545,VCT 2025 Americas Stage 1_csvs
Pearl,EG,0,4 (0),4 (3),3 (2),15 (9),459545,VCT 2025 Americas Stage 1_csvs
Pearl,LOUD,2,2 (2),1 (0),7 (3),16 (7),459545,VCT 2025 Americas Stage 1_csvs
All Maps,EG,1,3 (1),3 (1),5 (3),13 (8),459545,VCT 2025 Americas Stage 1_csvs
All Maps,LOUD,1,3 (1),0 (0),6 (3),15 (7),459545,VCT 2025 Americas Stage 1_csvs
Fracture,LEV,0,4 (0),0 (0),0 (0),24 (13),459546,VCT 2025 Americas Stage 1_csvs
Fracture,NRG,2,2 (2),0 (0),12 (6),14 (7),459546,VCT 2025 Americas Stage 1_csvs
Icebox,LEV,0,4 (0),1 (0),4 (2),12 (6),459546,VCT 2025 Americas Stage 1_csvs
Icebox,NRG,2,2 (2),1 (0),6 (4),12 (7),459546,VCT 2025 Americas Stage 1_csvs
All Maps,LEV,0,8 (0),1 (0),4 (2),36 (19),459546,VCT 2025 Americas Stage 1_csvs
All Maps,NRG,4,4 (4),1 (0),18 (10),26 (14),459546,VCT 2025 Americas Stage 1_csvs
Split,MIBR,2,2 (2),1 (0),3 (2),17 (9),475897,VCT 2025 Americas Stage 1_csvs
Split,100T,0,4 (0),3 (1),2 (1),14 (8),475897,VCT 2025 Americas Stage 1_csvs
Icebox,MIBR,1,3 (2),0 (0),3 (3),11 (8),475897,VCT 2025 Americas Stage 1_csvs
Icebox,100T,1,4 (1),2 (1),5 (1),6 (1),475897,VCT 2025 Americas Stage 1_csvs
All Maps,MIBR,3,5 (4),1 (0),6 (5),28 (17),475897,VCT 2025 Americas Stage 1_csvs
All Maps,100T,1,8 (1),5 (2),7 (2),20 (9),475897,VCT 2025 Americas Stage 1_csvs
Ascent,SEN,1,3 (2),1 (1),4 (1),14 (9),475898,VCT 2025 Americas Stage 1_csvs
Ascent,C9,1,2 (1),3 (0),7 (3),10 (5),475898,VCT 2025 Americas Stage 1_csvs
Pearl,SEN,1,3 (1),1 (1),5 (3),13 (8),475898,VCT 2025 Americas Stage 1_csvs
Pearl,C9,1,3 (1),2 (0),5 (1),12 (7),475898,VCT 2025 Americas Stage 1_csvs
icebox,SEN,2,6 (3),2 (2),9 (4),27 (17),475898,VCT 2025 Americas Stage 1_csvs
icebox,C9,2,5 (2),5 (0),12 (4),22 (12),475898,VCT 2025 Americas Stage 1_csvs
Fracture,100T,2,2 (2),0 (0),6 (5),10 (6),475903,VCT 2025 Americas Stage 1_csvs
Fracture,NRG,0,4 (0),1 (0),6 (2),7 (3),475903,VCT 2025 Americas Stage 1_csvs
Haven,100T,1,3 (1),2 (0),5 (3),14 (9),475903,VCT 2025 Americas Stage 1_csvs
Haven,NRG,1,3 (1),0 (0),7 (3),14 (7),475903,VCT 2025 Americas Stage 1_csvs
All Maps,100T,3,5 (3),2 (0),11 (8),24 (15),475903,VCT 2025 Americas Stage 1_csvs
All Maps,NRG,1,7 (1),1 (0),13 (5),21 (10),475903,VCT 2025 Americas Stage 1_csvs
Fracture,C9,1,3 (2),1 (0),9 (3),9 (4),475904,VCT 2025 Americas Stage 1_csvs
Fracture,EG,1,3 (1),1 (1),3 (0),15 (11),475904,VCT 2025 Americas Stage 1_csvs
Icebox,C9,1,3 (1),4 (0),4 (4),17 (8),475904,VCT 2025 Americas Stage 1_csvs
Icebox,EG,1,3 (1),3 (1),5 (2),17 (11),475904,VCT 2025 Americas Stage 1_csvs
All Maps,C9,2,6 (3),5 (0),13 (7),26 (12),475904,VCT 2025 Americas Stage 1_csvs
All Maps,EG,2,6 (2),4 (2),8 (2),32 (22),475904,VCT 2025 Americas Stage 1_csvs
Lotus,KRÜ,0,4 (0),0 (0),5 (3),12 (5),475899,VCT 2025 Americas Stage 1_csvs
Lotus,MIBR,2,2 (2),2 (2),7 (4),10 (5),475899,VCT 2025 Americas Stage 1_csvs
Icebox,KRÜ,1,3 (1),1 (1),2 (1),12 (2),475899,VCT 2025 Americas Stage 1_csvs
Icebox,MIBR,1,3 (1),0 (0),2 (2),13 (10),475899,VCT 2025 Americas Stage 1_csvs
All Maps,KRÜ,1,7 (1),1 (1),7 (4),24 (7),475899,VCT 2025 Americas Stage 1_csvs
All Maps,MIBR,3,5 (3),2 (2),9 (6),23 (15),475899,VCT 2025 Americas Stage 1_csvs
Split,G2,1,2 (1),1 (0),4 (2),11 (10),475900,VCT 2025 Americas Stage 1_csvs
Split,SEN,1,3 (1),0 (0),8 (3),7 (1),475900,VCT 2025 Americas Stage 1_csvs
Icebox,G2,2,2 (2),2 (0),9 (4),11 (5),475900,VCT 2025 Americas Stage 1_csvs
Icebox,SEN,0,4 (0),0 (0),2 (2),18 (11),475900,VCT 2025 Americas Stage 1_csvs
Lotus,G2,0,2 (0),0 (0),8 (4),14 (7),475900,VCT 2025 Americas Stage 1_csvs
Lotus,SEN,2,4 (2),1 (0),4 (0),15 (11),475900,VCT 2025 Americas Stage 1_csvs
Pearl,G2,3,6 (3),3 (0),21 (10),36 (22),475900,VCT 2025 Americas Stage 1_csvs
Pearl,SEN,3,11 (3),1 (0),14 (5),40 (23),475900,VCT 2025 Americas Stage 1_csvs
Lotus,KRÜ,2,2 (2),2 (1),7 (4),15 (5),475906,VCT 2025 Americas Stage 1_csvs
Lotus,EG,0,4 (0),2 (1),1 (1),19 (12),475906,VCT 2025 Americas Stage 1_csvs
Icebox,KRÜ,1,3 (1),2 (1),5 (1),14 (8),475906,VCT 2025 Americas Stage 1_csvs
Icebox,EG,1,4 (1),2 (1),4 (2),14 (9),475906,VCT 2025 Americas Stage 1_csvs
All Maps,KRÜ,3,5 (3),4 (2),12 (5),29 (13),475906,VCT 2025 Americas Stage 1_csvs
All Maps,EG,1,8 (1),4 (2),5 (3),33 (21),475906,VCT 2025 Americas Stage 1_csvs
Haven,G2,1,2 (1),0 (0),6 (5),9 (7),475905,VCT 2025 Americas Stage 1_csvs
Haven,100T,1,3 (1),3 (0),5 (0),6 (3),475905,VCT 2025 Americas Stage 1_csvs
Split,G2,0,4 (0),1 (0),2 (1),19 (11),475905,VCT 2025 Americas Stage 1_csvs
Split,100T,2,2 (2),1 (0),10 (6),13 (6),475905,VCT 2025 Americas Stage 1_csvs
Lotus,G2,1,3 (1),3 (2),4 (1),20 (12),475905,VCT 2025 Americas Stage 1_csvs
Lotus,100T,1,3 (1),3 (0),3 (2),21 (11),475905,VCT 2025 Americas Stage 1_csvs
SPLIT,G2,2,9 (2),4 (2),12 (7),48 (30),475905,VCT 2025 Americas Stage 1_csvs
SPLIT,100T,4,8 (4),7 (0),18 (8),40 (20),475905,VCT 2025 Americas Stage 1_csvs
Lotus,MIBR,1,3 (1),0 (0),8 (3),9 (3),475901,VCT 2025 Americas Stage 1_csvs
Lotus,SEN,1,3 (1),0 (0),3 (3),14 (9),475901,VCT 2025 Americas Stage 1_csvs
Split,MIBR,1,3 (2),1 (0),7 (4),13 (5),475901,VCT 2025 Americas Stage 1_csvs
Split,SEN,1,3 (1),1 (0),6 (2),14 (10),475901,VCT 2025 Americas Stage 1_csvs
haven,MIBR,2,6 (3),1 (0),15 (7),22 (8),475901,VCT 2025 Americas Stage 1_csvs
haven,SEN,2,6 (2),1 (0),9 (5),28 (19),475901,VCT 2025 Americas Stage 1_csvs
Lotus,G2,0,3 (0),0 (0),8 (3),11 (6),475907,VCT 2025 Americas Stage 1_csvs
Lotus,EG,2,3 (3),2 (0),4 (2),13 (8),475907,VCT 2025 Americas Stage 1_csvs
Split,G2,1,2 (1),1 (1),5 (2),12 (9),475907,VCT 2025 Americas Stage 1_csvs
Split,EG,1,2 (1),3 (0),7 (4),8 (2),475907,VCT 2025 Americas Stage 1_csvs
instead,G2,1,4 (1),1 (1),6 (2),13 (9),475907,VCT 2025 Americas Stage 1_csvs
instead,EG,1,4 (1),3 (0),5 (3),12 (7),475907,VCT 2025 Americas Stage 1_csvs
All Maps,G2,2,9 (2),2 (2),19 (7),36 (24),475907,VCT 2025 Americas Stage 1_csvs
All Maps,EG,4,9 (5),8 (0),16 (9),33 (17),475907,VCT 2025 Americas Stage 1_csvs
Haven,MIBR,2,2 (2),0 (0),8 (6),13 (5),475908,VCT 2025 Americas Stage 1_csvs
Haven,G2,0,3 (0),4 (2),3 (1),13 (7),475908,VCT 2025 Americas Stage 1_csvs
Lotus,MIBR,1,3 (1),2 (0),5 (2),18 (10),475908,VCT 2025 Americas Stage 1_csvs
Lotus,G2,1,2 (1),2 (1),5 (1),19 (12),475908,VCT 2025 Americas Stage 1_csvs
Split,MIBR,1,3 (1),3 (3),6 (2),11 (4),475908,VCT 2025 Americas Stage 1_csvs
Split,G2,1,3 (1),0 (0),2 (1),18 (11),475908,VCT 2025 Americas Stage 1_csvs
Ascent,MIBR,0,4 (0),2 (1),5 (2),10 (5),475908,VCT 2025 Americas Stage 1_csvs
Ascent,G2,2,2 (2),2 (2),8 (4),9 (5),475908,VCT 2025 Americas Stage 1_csvs
All Maps,MIBR,4,12 (4),7 (4),24 (12),52 (24),475908,VCT 2025 Americas Stage 1_csvs
All Maps,G2,4,10 (4),8 (5),18 (7),59 (35),475908,VCT 2025 Americas Stage 1_csvs
Haven,SEN,0,4 (0),0 (0),4 (1),14 (8),475902,VCT 2025 Americas Stage 1_csvs
Haven,G2,2,2 (2),2 (0),8 (5),10 (6),475902,VCT 2025 Americas Stage 1_csvs
Split,SEN,2,2 (2),2 (0),8 (2),10 (5),475902,VCT 2025 Americas Stage 1_csvs
Split,G2,0,4 (1),1 (0),4 (2),13 (10),475902,VCT 2025 Americas Stage 1_csvs
Pearl,SEN,1,3 (2),2 (0),5 (3),13 (8),475902,VCT 2025 Americas Stage 1_csvs
Pearl,G2,1,3 (1),2 (1),5 (2),13 (6),475902,VCT 2025 Americas Stage 1_csvs
Ascent,SEN,0,4 (0),1 (0),5 (3),13 (7),475902,VCT 2025 Americas Stage 1_csvs
Ascent,G2,2,2 (2),0 (0),9 (3),12 (8),475902,VCT 2025 Americas Stage 1_csvs
it,SEN,3,13 (4),5 (0),22 (9),50 (28),475902,VCT 2025 Americas Stage 1_csvs
it,G2,5,11 (6),5 (1),26 (12),48 (30),475902,VCT 2025 Americas Stage 1_csvs
Haven,C9,1,2 (1),0 (0),4 (4),12 (8),509801,VCT 2025 Americas Stage 2_csvs
Haven,FUR,1,4 (1),1 (0),6 (3),7 (1),509801,VCT 2025 Americas Stage 2_csvs
Bind,C9,2,2 (2),0 (0),3 (2),12 (9),509801,VCT 2025 Americas Stage 2_csvs
Bind,FUR,0,3 (0),2 (0),6 (3),6 (1),509801,VCT 2025 Americas Stage 2_csvs
Sunset,C9,3,4 (3),0 (0),7 (6),24 (17),509801,VCT 2025 Americas Stage 2_csvs
Sunset,FUR,1,7 (1),3 (0),12 (6),13 (2),509801,VCT 2025 Americas Stage 2_csvs
Bind,LEV,2,2 (2),2 (1),5 (3),14 (7),509802,VCT 2025 Americas Stage 2_csvs
Bind,LOUD,0,4 (1),0 (0),3 (1),16 (8),509802,VCT 2025 Americas Stage 2_csvs
Ascent,LEV,0,4 (0),1 (0),3 (2),15 (8),509802,VCT 2025 Americas Stage 2_csvs
Ascent,LOUD,2,2 (2),2 (1),5 (2),14 (8),509802,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,2,2 (2),2 (0),7 (4),13 (5),509802,VCT 2025 Americas Stage 2_csvs
All Maps,LOUD,0,4 (1),1 (1),2 (0),17 (11),509802,VCT 2025 Americas Stage 2_csvs
Sunset,EG,1,4 (1),0 (0),8 (5),8 (1),509803,VCT 2025 Americas Stage 2_csvs
Sunset,2G,1,3 (1),1 (1),2 (2),14 (9),509803,VCT 2025 Americas Stage 2_csvs
Lotus,EG,2,2 (2),0 (0),7 (5),15 (6),509803,VCT 2025 Americas Stage 2_csvs
Lotus,2G,0,3 (0),2 (0),5 (3),14 (8),509803,VCT 2025 Americas Stage 2_csvs
All Maps,EG,0,4 (0),2 (2),1 (1),15 (10),509803,VCT 2025 Americas Stage 2_csvs
All Maps,2G,2,2 (2),0 (0),9 (4),11 (3),509803,VCT 2025 Americas Stage 2_csvs
Corrode,MIBR,2,2 (2),1 (0),7 (5),12 (6),509804,VCT 2025 Americas Stage 2_csvs
Corrode,KRÜ,0,4 (0),0 (0),3 (0),15 (9),509804,VCT 2025 Americas Stage 2_csvs
Ascent,MIBR,0,3 (0),1 (0),5 (0),5 (1),509804,VCT 2025 Americas Stage 2_csvs
Ascent,KRÜ,2,2 (2),0 (0),3 (3),9 (8),509804,VCT 2025 Americas Stage 2_csvs
All Maps,MIBR,0,4 (0),2 (1),5 (3),11 (5),509804,VCT 2025 Americas Stage 2_csvs
All Maps,KRÜ,2,2 (2),2 (2),5 (3),13 (6),509804,VCT 2025 Americas Stage 2_csvs
Bind,100T,1,3 (1),2 (0),4 (3),14 (9),509805,VCT 2025 Americas Stage 2_csvs
Bind,NRG,1,3 (1),1 (0),4 (2),15 (7),509805,VCT 2025 Americas Stage 2_csvs
Sunset,100T,1,3 (1),0 (0),3 (3),11 (9),509805,VCT 2025 Americas Stage 2_csvs
Sunset,NRG,1,3 (1),1 (0),10 (2),3 (1),509805,VCT 2025 Americas Stage 2_csvs
All Maps,100T,2,6 (2),2 (0),7 (6),25 (18),509805,VCT 2025 Americas Stage 2_csvs
All Maps,NRG,2,6 (2),2 (0),14 (4),18 (8),509805,VCT 2025 Americas Stage 2_csvs
Corrode,SEN,1,3 (1),0 (0),6 (3),12 (9),509806,VCT 2025 Americas Stage 2_csvs
Corrode,G2,1,4 (1),2 (0),4 (2),11 (5),509806,VCT 2025 Americas Stage 2_csvs
Ascent,SEN,0,4 (0),2 (0),3 (2),10 (4),509806,VCT 2025 Americas Stage 2_csvs
Ascent,G2,2,2 (2),1 (1),5 (3),11 (7),509806,VCT 2025 Americas Stage 2_csvs
Icebox,SEN,0,4 (0),2 (1),1 (0),19 (13),509806,VCT 2025 Americas Stage 2_csvs
Icebox,G2,2,2 (2),2 (1),7 (4),15 (5),509806,VCT 2025 Americas Stage 2_csvs
Haven,SEN,1,11 (1),4 (1),10 (5),41 (26),509806,VCT 2025 Americas Stage 2_csvs
Haven,G2,5,8 (5),5 (2),16 (9),37 (17),509806,VCT 2025 Americas Stage 2_csvs
Ascent,2G,1,3 (1),4 (1),2 (0),12 (6),509807,VCT 2025 Americas Stage 2_csvs
Ascent,G2,1,2 (1),1 (0),8 (6),10 (6),509807,VCT 2025 Americas Stage 2_csvs
Haven,2G,0,4 (0),2 (1),4 (0),8 (4),509807,VCT 2025 Americas Stage 2_csvs
Haven,G2,2,2 (2),0 (0),5 (3),11 (8),509807,VCT 2025 Americas Stage 2_csvs
All Maps,2G,1,7 (1),6 (2),6 (0),20 (10),509807,VCT 2025 Americas Stage 2_csvs
All Maps,G2,3,4 (3),1 (0),13 (9),21 (14),509807,VCT 2025 Americas Stage 2_csvs
Sunset,FUR,1,2 (1),2 (1),9 (2),4 (0),509808,VCT 2025 Americas Stage 2_csvs
Sunset,SEN,1,3 (1),1 (0),2 (1),11 (11),509808,VCT 2025 Americas Stage 2_csvs
Icebox,FUR,0,3 (0),0 (0),6 (0),4 (0),509808,VCT 2025 Americas Stage 2_csvs
Icebox,SEN,2,2 (2),0 (0),2 (2),9 (9),509808,VCT 2025 Americas Stage 2_csvs
All Maps,FUR,1,5 (1),2 (1),15 (2),8 (0),509808,VCT 2025 Americas Stage 2_csvs
All Maps,SEN,3,5 (3),1 (0),4 (3),20 (20),509808,VCT 2025 Americas Stage 2_csvs
Corrode,100T,1,3 (1),0 (0),2 (2),12 (10),509809,VCT 2025 Americas Stage 2_csvs
Corrode,KRÜ,1,3 (1),2 (0),4 (1),8 (2),509809,VCT 2025 Americas Stage 2_csvs
Bind,100T,1,3 (1),0 (0),1 (1),14 (11),509809,VCT 2025 Americas Stage 2_csvs
Bind,KRÜ,1,3 (1),1 (0),6 (2),8 (2),509809,VCT 2025 Americas Stage 2_csvs
All Maps,100T,2,6 (2),0 (0),3 (3),26 (21),509809,VCT 2025 Americas Stage 2_csvs
All Maps,KRÜ,2,6 (2),3 (0),10 (3),16 (4),509809,VCT 2025 Americas Stage 2_csvs
Haven,NRG,1,3 (1),1 (1),2 (2),11 (9),509810,VCT 2025 Americas Stage 2_csvs
Haven,LOUD,1,3 (1),1 (0),7 (2),6 (1),509810,VCT 2025 Americas Stage 2_csvs
Corrode,NRG,0,4 (0),0 (0),1 (1),17 (12),509810,VCT 2025 Americas Stage 2_csvs
Corrode,LOUD,2,2 (2),3 (1),7 (2),10 (4),509810,VCT 2025 Americas Stage 2_csvs
All Maps,NRG,1,7 (1),1 (1),3 (3),28 (21),509810,VCT 2025 Americas Stage 2_csvs
All Maps,LOUD,3,5 (3),4 (1),14 (4),16 (5),509810,VCT 2025 Americas Stage 2_csvs
Lotus,C9,1,4 (1),0 (0),3 (1),13 (11),509811,VCT 2025 Americas Stage 2_csvs
Lotus,EG,1,2 (1),4 (1),7 (3),7 (2),509811,VCT 2025 Americas Stage 2_csvs
Haven,C9,0,3 (0),1 (0),3 (3),16 (10),509811,VCT 2025 Americas Stage 2_csvs
Haven,EG,2,3 (2),2 (0),4 (3),14 (5),509811,VCT 2025 Americas Stage 2_csvs
All Maps,C9,1,7 (1),1 (0),6 (4),29 (21),509811,VCT 2025 Americas Stage 2_csvs
All Maps,EG,3,5 (3),6 (1),11 (6),21 (7),509811,VCT 2025 Americas Stage 2_csvs
Lotus,MIBR,1,3 (1),2 (0),5 (2),11 (5),509812,VCT 2025 Americas Stage 2_csvs
Lotus,LEV,1,3 (1),1 (0),3 (3),14 (9),509812,VCT 2025 Americas Stage 2_csvs
Sunset,MIBR,0,3 (0),4 (1),2 (0),7 (2),509812,VCT 2025 Americas Stage 2_csvs
Sunset,LEV,2,2 (2),0 (0),4 (3),10 (8),509812,VCT 2025 Americas Stage 2_csvs
All Maps,MIBR,1,6 (1),6 (1),7 (2),18 (7),509812,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,3,5 (3),1 (0),7 (6),24 (17),509812,VCT 2025 Americas Stage 2_csvs
Corrode,2G,2,2 (2),1 (0),8 (4),15 (6),509813,VCT 2025 Americas Stage 2_csvs
Corrode,FUR,0,4 (1),1 (0),3 (1),18 (12),509813,VCT 2025 Americas Stage 2_csvs
Sunset,2G,1,3 (1),0 (0),2 (2),11 (10),509813,VCT 2025 Americas Stage 2_csvs
Sunset,FUR,1,3 (1),1 (0),8 (1),4 (1),509813,VCT 2025 Americas Stage 2_csvs
All Maps,2G,2,2 (2),0 (0),5 (4),8 (7),509813,VCT 2025 Americas Stage 2_csvs
All Maps,FUR,0,3 (0),2 (0),6 (1),4 (1),509813,VCT 2025 Americas Stage 2_csvs
Lotus,LEV,1,4 (1),1 (0),4 (2),11 (4),509814,VCT 2025 Americas Stage 2_csvs
Lotus,NRG,1,3 (1),0 (0),3 (2),14 (10),509814,VCT 2025 Americas Stage 2_csvs
Haven,LEV,1,3 (1),0 (0),5 (3),18 (10),509814,VCT 2025 Americas Stage 2_csvs
Haven,NRG,1,3 (1),1 (0),10 (6),12 (5),509814,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,1,3 (1),2 (0),5 (3),14 (7),509814,VCT 2025 Americas Stage 2_csvs
All Maps,NRG,1,3 (1),2 (1),5 (3),14 (8),509814,VCT 2025 Americas Stage 2_csvs
Lotus,SEN,1,4 (2),0 (0),2 (1),12 (10),509815,VCT 2025 Americas Stage 2_csvs
Lotus,C9,1,2 (1),2 (0),8 (2),6 (2),509815,VCT 2025 Americas Stage 2_csvs
Haven,SEN,2,3 (2),0 (0),8 (4),11 (7),509815,VCT 2025 Americas Stage 2_csvs
Haven,C9,0,3 (0),0 (0),8 (3),11 (6),509815,VCT 2025 Americas Stage 2_csvs
Sunset,SEN,3,7 (4),0 (0),10 (5),23 (17),509815,VCT 2025 Americas Stage 2_csvs
Sunset,C9,1,5 (1),2 (0),16 (5),17 (8),509815,VCT 2025 Americas Stage 2_csvs
Icebox,MIBR,2,3 (2),1 (0),6 (2),13 (9),509816,VCT 2025 Americas Stage 2_csvs
Icebox,100T,0,4 (0),1 (0),5 (4),13 (6),509816,VCT 2025 Americas Stage 2_csvs
Bind,MIBR,1,3 (1),1 (0),6 (2),16 (11),509816,VCT 2025 Americas Stage 2_csvs
Bind,100T,1,4 (1),2 (0),2 (1),18 (10),509816,VCT 2025 Americas Stage 2_csvs
All Maps,MIBR,3,6 (3),2 (0),12 (4),29 (20),509816,VCT 2025 Americas Stage 2_csvs
All Maps,100T,1,8 (1),3 (0),7 (5),31 (16),509816,VCT 2025 Americas Stage 2_csvs
Corrode,G2,1,3 (1),2 (0),4 (2),15 (8),509817,VCT 2025 Americas Stage 2_csvs
Corrode,EG,1,3 (1),0 (0),7 (4),14 (8),509817,VCT 2025 Americas Stage 2_csvs
Haven,G2,0,4 (1),0 (0),1 (1),12 (11),509817,VCT 2025 Americas Stage 2_csvs
Haven,EG,2,2 (2),2 (0),8 (1),5 (1),509817,VCT 2025 Americas Stage 2_csvs
All Maps,G2,2,2 (2),0 (0),6 (4),9 (7),509817,VCT 2025 Americas Stage 2_csvs
All Maps,EG,0,3 (0),3 (0),3 (1),8 (3),509817,VCT 2025 Americas Stage 2_csvs
Haven,LOUD,0,4 (0),4 (2),2 (0),10 (5),509818,VCT 2025 Americas Stage 2_csvs
Haven,KRÜ,2,2 (2),1 (0),4 (3),13 (8),509818,VCT 2025 Americas Stage 2_csvs
Bind,LOUD,2,2 (2),4 (2),3 (2),13 (7),509818,VCT 2025 Americas Stage 2_csvs
Bind,KRÜ,0,4 (0),1 (1),8 (4),9 (4),509818,VCT 2025 Americas Stage 2_csvs
All Maps,LOUD,0,4 (0),1 (0),3 (0),9 (4),509818,VCT 2025 Americas Stage 2_csvs
All Maps,KRÜ,2,2 (2),0 (0),4 (4),11 (7),509818,VCT 2025 Americas Stage 2_csvs
Bind,C9,2,2 (2),0 (0),3 (3),9 (8),509819,VCT 2025 Americas Stage 2_csvs
Bind,2G,0,4 (0),1 (0),4 (0),5 (1),509819,VCT 2025 Americas Stage 2_csvs
Lotus,C9,2,2 (2),1 (0),7 (6),10 (5),509819,VCT 2025 Americas Stage 2_csvs
Lotus,2G,0,4 (0),0 (0),4 (3),12 (4),509819,VCT 2025 Americas Stage 2_csvs
Ascent,C9,4,4 (4),1 (0),10 (9),19 (13),509819,VCT 2025 Americas Stage 2_csvs
Ascent,2G,0,8 (0),1 (0),8 (3),17 (5),509819,VCT 2025 Americas Stage 2_csvs
Lotus,MIBR,1,2 (1),2 (0),7 (6),17 (6),509820,VCT 2025 Americas Stage 2_csvs
Lotus,NRG,1,3 (1),1 (0),9 (5),15 (9),509820,VCT 2025 Americas Stage 2_csvs
Bind,MIBR,1,3 (1),1 (0),3 (3),16 (6),509820,VCT 2025 Americas Stage 2_csvs
Bind,NRG,1,3 (1),0 (0),4 (4),16 (8),509820,VCT 2025 Americas Stage 2_csvs
All Maps,MIBR,2,5 (2),3 (0),10 (9),33 (12),509820,VCT 2025 Americas Stage 2_csvs
All Maps,NRG,2,6 (2),1 (0),13 (9),31 (17),509820,VCT 2025 Americas Stage 2_csvs
Lotus,SEN,1,3 (1),0 (0),4 (2),14 (10),509821,VCT 2025 Americas Stage 2_csvs
Lotus,EG,1,3 (1),3 (1),4 (2),11 (4),509821,VCT 2025 Americas Stage 2_csvs
Corrode,SEN,1,3 (2),0 (0),2 (1),12 (10),509821,VCT 2025 Americas Stage 2_csvs
Corrode,EG,1,4 (1),1 (0),6 (1),6 (2),509821,VCT 2025 Americas Stage 2_csvs
All Maps,SEN,2,6 (3),0 (0),6 (3),26 (20),509821,VCT 2025 Americas Stage 2_csvs
All Maps,EG,2,7 (2),4 (1),10 (3),17 (6),509821,VCT 2025 Americas Stage 2_csvs
Bind,LEV,1,3 (1),3 (0),4 (2),9 (3),509822,VCT 2025 Americas Stage 2_csvs
Bind,KRÜ,1,3 (1),1 (0),2 (2),13 (10),509822,VCT 2025 Americas Stage 2_csvs
Haven,LEV,2,2 (2),1 (0),7 (3),13 (8),509822,VCT 2025 Americas Stage 2_csvs
Haven,KRÜ,0,3 (0),2 (0),5 (2),13 (8),509822,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,2,2 (2),0 (0),5 (4),10 (7),509822,VCT 2025 Americas Stage 2_csvs
All Maps,KRÜ,0,4 (0),1 (0),5 (2),7 (2),509822,VCT 2025 Americas Stage 2_csvs
Corrode,FUR,0,3 (0),0 (0),7 (1),5 (1),509823,VCT 2025 Americas Stage 2_csvs
Corrode,G2,2,2 (2),0 (0),4 (3),9 (8),509823,VCT 2025 Americas Stage 2_csvs
Ascent,FUR,1,4 (1),0 (0),5 (2),9 (2),509823,VCT 2025 Americas Stage 2_csvs
Ascent,G2,1,3 (2),0 (0),2 (2),13 (9),509823,VCT 2025 Americas Stage 2_csvs
Icebox,FUR,1,7 (1),0 (0),12 (3),14 (3),509823,VCT 2025 Americas Stage 2_csvs
Icebox,G2,3,5 (4),0 (0),6 (5),22 (17),509823,VCT 2025 Americas Stage 2_csvs
Sunset,LOUD,2,2 (2),0 (0),4 (4),9 (7),509824,VCT 2025 Americas Stage 2_csvs
Sunset,100T,0,3 (0),2 (0),7 (1),3 (1),509824,VCT 2025 Americas Stage 2_csvs
Bind,LOUD,0,4 (0),1 (0),4 (2),11 (5),509824,VCT 2025 Americas Stage 2_csvs
Bind,100T,2,2 (2),1 (0),3 (2),14 (9),509824,VCT 2025 Americas Stage 2_csvs
Ascent,LOUD,1,4 (2),1 (0),4 (1),17 (9),509824,VCT 2025 Americas Stage 2_csvs
Ascent,100T,1,3 (1),2 (0),2 (1),19 (12),509824,VCT 2025 Americas Stage 2_csvs
All Maps,LOUD,3,10 (4),2 (0),12 (7),37 (21),509824,VCT 2025 Americas Stage 2_csvs
All Maps,100T,3,8 (3),5 (0),12 (4),36 (22),509824,VCT 2025 Americas Stage 2_csvs
Sunset,KRÜ,1,3 (1),0 (0),4 (3),12 (9),509825,VCT 2025 Americas Stage 2_csvs
Sunset,NRG,1,3 (1),1 (0),8 (4),7 (1),509825,VCT 2025 Americas Stage 2_csvs
Lotus,KRÜ,0,4 (0),1 (0),4 (2),11 (5),509825,VCT 2025 Americas Stage 2_csvs
Lotus,NRG,2,2 (2),0 (0),10 (5),8 (6),509825,VCT 2025 Americas Stage 2_csvs
All Maps,KRÜ,0,3 (0),3 (1),3 (1),9 (3),509825,VCT 2025 Americas Stage 2_csvs
All Maps,NRG,2,3 (3),0 (0),6 (4),9 (6),509825,VCT 2025 Americas Stage 2_csvs
Haven,100T,1,3 (1),2 (0),3 (2),15 (10),509826,VCT 2025 Americas Stage 2_csvs
Haven,LEV,1,3 (1),2 (1),6 (2),12 (6),509826,VCT 2025 Americas Stage 2_csvs
Sunset,100T,1,3 (1),1 (1),6 (2),13 (6),509826,VCT 2025 Americas Stage 2_csvs
Sunset,LEV,1,3 (1),2 (1),3 (1),15 (10),509826,VCT 2025 Americas Stage 2_csvs
All Maps,100T,0,3 (0),1 (0),4 (0),7 (2),509826,VCT 2025 Americas Stage 2_csvs
All Maps,LEV,2,2 (2),0 (0),4 (3),9 (8),509826,VCT 2025 Americas Stage 2_csvs
